Revised_Energy_Efficiency_Rating,Lower_Super_Output_Area
D,E01001895
D,E01001896
D,E01001897
D,E01001898
C,E01001899
D,E01001900
D,E01001901
D,E01001902
D,E01001903
D,E01001904
D,E01001905
D,E01001906
D,E01001907
D,E01001908
D,E01001909
D,E01001910
C,E01001911
C,E01001912
D,E01001913
D,E01001914
D,E01001915
D,E01001916
D,E01001917
D,E01001918
D,E01001919
D,E01001920
D,E01001921
D,E01001922
D,E01001923
D,E01001924
D,E01001925
D,E01001926
E,E01001927
C,E01001928
D,E01001929
C,E01001930
D,E01001931
D,E01001932
D,E01001933
C,E01001934
D,E01001935
D,E01001937
D,E01001938
C,E01001939
D,E01001940
D,E01001941
D,E01001942
D,E01001943
C,E01001944
D,E01001945
D,E01001946
D,E01001947
D,E01001948
D,E01001949
D,E01001950
D,E01001951
D,E01001952
D,E01001953
D,E01001954
D,E01001955
D,E01001956
D,E01001957
D,E01001958
D,E01001959
D,E01001960
D,E01001961
D,E01001962
D,E01001963
D,E01001964
D,E01001965
E,E01001966
E,E01001967
E,E01001968
D,E01001969
D,E01001970
D,E01001971
C,E01001972
E,E01001973
D,E01001974
D,E01001975
D,E01001976
D,E01001977
D,E01001978
D,E01001979
D,E01001980
D,E01001981
D,E01001982
D,E01001983
C,E01001984
D,E01001985
D,E01001986
D,E01001987
D,E01001988
E,E01001989
D,E01001990
E,E01001991
E,E01001992
E,E01001993
D,E01001994
C,E01001995
D,E01001996
D,E01001997
D,E01001998
D,E01001999
D,E01002000
D,E01002001
D,E01002002
D,E01002003
D,E01002004
D,E01002005
D,E01002006
D,E01002007
D,E01002008
D,E01002009
D,E01002010
D,E01002011
D,E01002013
D,E01002014
C,E01002015
D,E01002016
D,E01002017
D,E01002018
E,E01002019
D,E01002020
E,E01002021
D,E01002022
D,E01002023
D,E01002024
E,E01002025
D,E01002026
D,E01002027
D,E01002028
D,E01002029
D,E01002030
